施設名,郵便番号,所在地,所在地2,電話番号,緯度,経度,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込状況（0歳）,申込状況（1歳）,申込状況（2歳）,申込状況（3歳）,申込状況（4歳）,申込状況（5歳）,NO,区
南保育園,4328043,浜松市中区浅田町73-39,,053-452-1413,34.695824,137.735759,0,1,1,0,1,1,2,1,0,0,0,0,1,中区
鴨江保育園,4328023,浜松市中区鴨江二丁目8-1,,053-453-1206,34.704819,137.715496,0,0,0,0,0,0,0,4,2,0,0,2,2,中区
花川保育園,4338116,浜松市中区西丘町1000,,053-436-1205,34.777054,137.699133,0,0,4,1,2,1,2,0,0,0,1,0,3,中区
江西保育園,4328047,浜松市中区神田町176,,053-441-8121,34.686897,137.725299,0,0,1,2,1,3,4,1,0,1,0,0,4,中区
権現谷保育園,4328002,浜松市中区富塚町1480-1,,053-474-2765,34.731056,137.708662,0,0,0,0,0,0,1,4,1,0,0,0,5,中区
佐鳴台保育園,4328021,浜松市中区佐鳴台三丁目30-1,,053-449-0744,34.706882,137.696942,0,0,0,0,0,0,5,3,0,0,1,0,6,中区
寺島保育園,4300925,浜松市中区寺島町285-5,,053-456-3248,34.699861,137.741881,0,0,1,1,0,0,3,0,0,0,0,0,7,中区
西保育園,4328012,浜松市中区布橋二丁目4-17,,053-474-6322,34.721792,137.714251,0,0,0,1,0,0,1,1,0,0,0,0,8,中区
中ノ町保育園,4350004,浜松市東区中野町2598-2,,053-421-0327,34.731844,137.800831,0,0,0,0,0,0,2,4,0,1,1,1,9,東区
積志保育園,4313121,浜松市東区有玉北町1264,,053-434-0138,34.764119,137.760993,0,0,0,0,0,0,0,0,4,0,0,0,10,東区
笠井保育園,4313107,浜松市東区笠井町1284,,053-434-1636,34.766683,137.791347,0,0,0,0,0,0,1,6,2,1,0,0,11,東区
神田原保育園,4328001,浜松市西区西山町2150-2,,053-485-8550,34.739684,137.683356,0,0,1,1,5,4,3,0,1,0,0,0,12,西区
舞阪第1保育園,4310214,浜松市西区舞阪町弁天島3885,,053-592-0004,34.692889,137.604046,0,2,0,1,1,1,0,0,0,0,0,0,13,西区
舞阪第2保育園,4310211,浜松市西区舞阪町舞阪2659-3,,053-592-3552,34.683246,137.613663,0,0,0,0,0,2,0,0,0,0,0,0,14,西区
雄踏保育園,4310102,浜松市西区雄踏町宇布見5461,,053-592-0502,34.702455,137.636823,0,1,0,1,0,0,4,0,0,0,0,0,15,西区
可美保育園,4328051,浜松市南区若林町70-1,,053-447-0713,34.686192,137.701261,0,0,1,0,0,0,2,3,0,0,0,1,16,南区
三方原保育園,4338104,浜松市北区東三方町21-1,,053-436-1208,34.775529,137.726315,0,0,1,1,1,1,1,1,0,0,0,0,17,北区
引佐保育園,4312212,浜松市北区引佐町井伊谷717,,053-542-0268,34.832374,137.670788,0,0,0,0,0,1,1,1,0,1,0,0,18,北区
三ヶ日保育園,4311414,浜松市北区三ヶ日町三ヶ日811-5,,053-525-0955,34.806011,137.550700,2,0,1,0,2,0,2,2,0,2,0,0,19,北区
都筑保育園,4311402,浜松市北区三ヶ日町都筑1789-6,,053-526-7751,34.795652,137.574803,0,3,1,4,8,4,0,0,0,0,0,0,20,北区
